und_infl_adj_fs,width_mm_fs,asp_rat_adj_fs,ld_ind_fs,spd_rat_fs,roll_res_fs
-0.411,-0.216,-0.188,0.22,-0.04,-0.034
0.346,-0.137,0.004,-0.314,-0.09,0.008
-0.135,-0.383,-0.103,-0.023,-0.043,-0.024
-0.238,-0.266,0.458,-0.107,-0.019,-0.026
-0.271,0.489,-0.375,0.253,-0.332,0.037
-0.167,-0.231,0.168,0.457,0.228,-0.021
0.21,0.076,-0.097,0.248,0.166,0.061
0.27,0.273,-0.335,0.047,-0.406,0.058
0.266,0.413,0.453,0.149,-0.25,0.074
0.469,0.394,-0.342,0.248,0.247,0.063
0.407,-0.346,-0.231,0.292,0.028,0.009
0.455,-0.351,-0.178,-0.048,-0.327,0.007
-0.258,0.22,0.456,-0.054,0.068,0.045
-0.2,0.167,0.41,-0.122,-0.385,0.042
0.319,-0.118,-0.441,-0.079,-0.063,0.066
-0.268,0.06,0.162,-0.11,0.186,0.044
0.042,-0.377,-0.231,-0.004,-0.385,-0.003
-0.488,-0.307,-0.197,-0.008,-0.1,-0.037
0.276,-0.124,0.022,-0.152,-0.086,0.057
-0.169,-0.396,-0.34,0.254,0.15,-0.024
0.217,0.325,-0.445,-0.493,0.431,0.052
0.485,0.265,-0.276,0.228,-0.378,0.058
-0.366,0.064,0.394,0.293,0.465,0.045
-0.42,0.288,0.009,0.035,-0.322,0.037
-0.281,-0.32,-0.323,-0.451,-0.073,-0.04
0.228,0.176,-0.44,-0.197,0.455,0.054
0.225,0.366,0.17,-0.257,-0.144,0.068
0.499,-0.436,-0.367,-0.484,0.026,0.01
0.148,-0.1,-0.139,0.169,0.055,0.066
-0.303,0.451,0.172,-0.032,-0.147,0.044
-0.431,0.029,0.419,0.223,-0.491,-0.012
-0.093,-0.269,-0.437,-0.187,-0.248,-0.008
0.429,0.428,0.391,-0.21,-0.209,0.068
0.029,-0.141,-0.264,-0.388,0.491,0.002
-0.457,0.274,-0.061,0.182,0.119,0.037
-0.455,-0.093,0.176,0.015,0.215,0.048
0.009,0.352,-0.148,-0.347,0.327,0.031
-0.256,-0.038,-0.442,0.022,-0.034,0.037
-0.143,0.445,0.218,-0.106,0.38,0.044
0.184,-0.42,0.201,0.21,0.158,0.013
-0.448,-0.478,0.294,-0.494,-0.188,-0.046
0.336,0.206,-0.103,0.428,0.314,0.063
-0.324,0.165,-0.008,0.37,0.462,0.037
-0.22,0.059,-0.305,-0.473,-0.359,0.031
-0.094,-0.35,-0.235,0.138,-0.256,-0.006
-0.315,0.237,0.407,-0.208,0.281,0.04
0.487,0.197,-0.057,-0.048,0.396,0.063
-0.394,0.067,-0.238,0.339,-0.234,0.037
-0.37,-0.238,-0.304,0.481,-0.428,-0.045
-0.086,0.3,0.097,0.017,-0.189,0.044
-0.482,0.005,0.151,-0.291,0.276,0.039
-0.161,0.052,-0.314,-0.053,-0.062,0.037
-0.009,0.44,0.185,-0.305,0.28,0.039
-0.401,0.334,-0.061,-0.301,0.344,0.03
0.399,0.208,0.108,0.039,0.16,0.072
-0.033,0.018,-0.393,0.182,0.161,0.037
0.245,-0.272,-0.471,0.437,0.323,0.009
-0.043,0.122,-0.052,0.053,-0.024,0.037
-0.022,-0.242,-0.247,0.469,-0.261,-0.006
-0.202,0.053,0.322,-0.401,0.473,0.041
0.385,0.089,-0.236,-0.201,0.424,0.054
-0.449,0.429,-0.424,0.328,-0.449,-0.018
0.027,0.363,-0.311,0.284,0.317,0.047
0.138,0.057,0.025,0.366,0.23,0.061
0.218,0.093,-0.432,-0.408,0.394,0.052
0.4,-0.414,0.426,-0.432,0.311,0.014
0.198,-0.297,0.137,-0.225,-0.271,0.007
-0.235,0.431,0.328,-0.179,-0.067,0.04
-0.269,0.198,0.333,0.255,0.082,0.045
-0.452,0.405,0.079,-0.125,-0.013,0.044
0.264,-0.494,-0.231,-0.048,-0.078,0.009
0.484,-0.078,-0.087,-0.184,0.309,0.057
0.016,-0.018,-0.388,-0.077,-0.212,0.037
-0.374,-0.325,-0.128,-0.408,0.243,-0.04
-0.217,0.25,-0.15,-0.051,-0.455,-0.014
0.072,-0.239,0.04,0.269,0.033,0.0
-0.234,-0.229,0.22,-0.202,0.413,-0.029
0.404,-0.425,-0.094,0.245,-0.176,0.009
-0.49,-0.466,-0.458,-0.353,-0.266,-0.04
0.224,-0.174,-0.08,-0.206,-0.016,0.008
-0.436,-0.01,-0.431,0.408,0.149,0.037
-0.333,-0.223,-0.194,0.037,0.499,-0.034
0.108,0.097,-0.352,-0.254,0.427,0.052
0.181,0.365,0.05,0.218,0.431,0.07
-0.115,-0.38,0.155,0.245,0.068,-0.021
-0.488,0.05,0.067,0.189,0.176,0.044
0.359,-0.227,-0.47,0.144,-0.197,0.009
0.41,-0.154,0.265,0.059,0.467,0.014
0.014,0.049,0.457,-0.303,-0.293,0.039
0.388,0.409,-0.138,-0.264,0.045,0.054
-0.46,0.422,-0.062,0.021,0.091,0.037
-0.354,0.467,-0.474,-0.326,0.2,0.03
-0.28,0.146,0.301,0.488,-0.101,0.045
-0.228,-0.303,-0.102,0.228,0.186,-0.03
-0.302,0.13,0.496,0.271,0.461,0.045
-0.004,0.25,-0.061,-0.006,0.396,0.037
0.4,-0.255,0.037,0.371,0.033,0.009
0.375,0.12,0.345,-0.137,0.241,0.068
0.423,-0.457,0.412,0.276,0.387,0.013
-0.323,0.113,0.258,0.076,-0.281,0.044
0.377,-0.17,0.329,-0.244,-0.022,0.012
0.09,0.103,0.488,-0.122,0.029,0.07
0.374,0.315,-0.326,-0.117,0.17,0.063
-0.271,0.206,0.206,0.238,0.073,0.044
-0.29,0.408,-0.132,0.468,0.128,0.037
0.268,-0.282,-0.169,-0.442,-0.497,-0.037
0.067,0.441,-0.232,-0.196,-0.435,0.023
-0.131,-0.296,0.086,-0.3,-0.402,-0.03
-0.292,0.025,0.161,-0.052,-0.271,0.044
-0.368,0.26,-0.099,-0.04,0.4,0.037
0.337,0.331,0.055,0.218,0.058,0.072
0.126,0.185,0.196,-0.498,-0.03,0.065
0.24,0.345,-0.109,0.214,0.136,0.063
-0.083,-0.001,0.482,0.037,0.172,0.045
-0.471,-0.215,-0.071,0.087,0.421,-0.034
0.236,0.243,0.478,-0.493,0.159,0.068
0.416,0.211,0.01,0.15,-0.088,0.063
-0.469,0.412,-0.073,-0.423,-0.319,0.031
0.281,-0.078,-0.163,0.384,-0.389,0.06
0.413,-0.336,0.106,-0.407,0.363,0.013
-0.466,0.193,-0.054,-0.479,0.063,0.031
0.056,-0.124,0.06,-0.037,-0.364,0.054
0.336,-0.314,-0.097,0.306,-0.206,0.009
-0.454,-0.255,0.09,-0.112,0.464,-0.034
0.282,0.422,-0.277,-0.142,0.037,0.054
-0.224,0.254,-0.08,-0.251,0.318,0.03
-0.086,-0.215,-0.202,0.198,-0.189,-0.006
0.142,-0.466,0.404,-0.428,-0.02,0.012
0.326,-0.497,-0.187,-0.011,0.374,0.009
-0.185,0.499,0.081,0.252,0.328,0.044
0.428,0.334,0.488,-0.459,-0.458,0.034
0.117,-0.128,0.031,-0.081,0.014,0.066
0.061,0.073,0.08,-0.238,0.112,0.05
-0.369,0.488,0.21,-0.031,-0.204,0.044
0.175,0.12,-0.261,0.446,0.316,0.061
0.076,-0.31,-0.134,-0.102,0.3,0.006
0.405,0.1,-0.098,0.283,-0.316,0.06
-0.014,0.023,-0.05,0.073,0.243,0.037
-0.203,0.43,0.198,0.383,0.193,0.044
-0.035,-0.447,0.435,0.198,0.401,-0.002
0.184,-0.096,0.265,-0.076,-0.219,0.078
0.318,0.371,-0.02,0.313,0.498,0.063
0.376,0.196,0.321,0.413,-0.323,0.071
0.007,-0.141,0.208,0.351,0.158,-0.002
0.48,-0.238,-0.371,-0.138,-0.027,0.006
-0.363,-0.16,0.093,0.281,0.11,-0.031
0.441,0.096,0.113,0.18,-0.067,0.072
0.031,0.033,-0.098,0.054,0.385,0.047
0.359,-0.417,-0.118,-0.075,-0.379,0.006
-0.185,-0.433,-0.359,-0.13,0.496,-0.03
0.464,-0.33,0.364,0.467,0.248,0.013
0.301,-0.176,0.444,0.106,0.249,0.014
0.391,0.202,-0.314,-0.444,0.121,0.054
-0.103,-0.008,0.234,-0.393,-0.117,0.04
-0.299,-0.209,0.296,-0.451,0.093,-0.033
-0.221,0.357,-0.458,-0.22,0.266,0.03
-0.181,0.111,0.295,-0.0,-0.169,0.045
-0.018,-0.053,-0.146,0.039,0.471,0.037
0.487,-0.106,0.45,-0.319,-0.41,0.066
-0.49,0.332,-0.383,-0.196,-0.31,0.03
0.4,-0.41,0.247,-0.401,0.021,0.014
0.334,0.334,0.365,0.486,0.304,0.074
-0.153,-0.225,-0.05,-0.465,0.085,-0.022
0.407,-0.132,0.09,-0.271,-0.379,0.064
-0.081,-0.232,-0.27,-0.399,0.183,-0.004
0.016,0.283,0.157,-0.48,0.238,0.04
-0.484,0.359,-0.18,0.309,-0.002,0.037
-0.368,0.13,-0.374,-0.004,0.071,0.037
0.087,-0.398,0.438,-0.046,0.482,0.01
-0.285,-0.051,-0.137,-0.278,0.452,0.03
-0.011,0.141,0.244,0.174,-0.066,0.044
-0.444,0.099,-0.025,0.458,0.015,0.037
-0.041,-0.353,-0.212,0.396,0.41,-0.006
-0.391,-0.001,-0.217,-0.093,-0.438,0.019
0.075,0.122,0.343,0.477,0.07,0.07
0.18,0.316,-0.244,0.374,-0.218,0.061
-0.405,0.42,0.162,0.243,-0.072,0.044
0.142,-0.386,-0.435,-0.053,0.329,0.007
0.442,0.277,-0.316,0.02,0.155,0.063
-0.241,-0.353,-0.473,0.329,0.498,-0.03
-0.015,-0.124,0.113,-0.032,-0.353,0.046
0.147,0.032,-0.412,-0.013,-0.291,0.058
-0.133,-0.01,0.241,0.08,0.08,0.044
-0.07,0.462,-0.045,-0.208,0.397,0.03
-0.497,0.367,0.076,-0.012,0.351,0.044
0.354,-0.154,0.409,-0.11,-0.474,-0.022
-0.107,0.466,0.121,0.307,0.194,0.044
0.424,0.044,0.244,-0.098,0.451,0.074
-0.249,0.089,0.402,-0.128,0.429,0.045
-0.043,-0.49,0.364,-0.434,-0.367,-0.0
0.286,0.205,0.054,-0.171,0.062,0.066
-0.216,-0.057,-0.292,-0.004,0.289,0.037
-0.31,0.419,-0.397,-0.08,0.393,0.037
-0.358,-0.004,0.213,-0.432,-0.266,0.04
0.157,0.056,-0.011,0.267,-0.413,0.055
-0.078,-0.134,0.49,0.06,-0.4,0.031
-0.303,-0.003,-0.171,0.127,0.122,0.037
0.012,0.135,-0.079,-0.283,-0.475,-0.003
0.185,0.363,0.466,-0.166,0.493,0.065
-0.23,-0.196,0.007,0.107,0.268,-0.025
-0.095,-0.411,0.233,-0.053,0.205,-0.002
-0.038,-0.47,-0.231,-0.423,0.042,-0.004
0.037,0.416,0.017,-0.146,-0.186,0.041
-0.362,-0.08,0.235,-0.436,0.425,0.043
0.121,0.332,0.133,0.036,-0.363,0.065
-0.188,0.143,-0.027,0.08,-0.464,-0.014
0.261,0.381,0.397,0.468,-0.301,0.071
0.09,0.084,0.233,0.331,-0.424,0.067
0.189,0.385,-0.05,-0.457,0.015,0.052
-0.092,-0.431,0.248,0.442,-0.165,-0.002
0.192,0.25,0.102,0.207,0.386,0.07
-0.418,0.057,-0.228,0.341,-0.363,0.037
0.365,0.212,-0.263,-0.319,-0.496,0.014
-0.199,0.247,0.406,0.3,-0.225,0.045
-0.448,0.412,-0.322,0.076,0.41,0.037
0.4,-0.06,0.318,-0.2,-0.179,0.068
-0.094,0.44,-0.475,0.437,0.327,0.037
-0.446,0.266,-0.185,0.467,0.319,0.037
0.385,0.407,0.463,0.243,0.35,0.074
0.188,0.05,0.19,0.349,-0.259,0.072
0.271,-0.306,-0.052,-0.069,-0.251,0.009
0.142,0.06,-0.395,-0.148,0.008,0.052
-0.17,-0.141,0.302,-0.02,0.043,-0.018
0.491,-0.08,0.197,-0.173,0.307,0.07
-0.058,0.301,0.028,0.02,-0.375,0.032
0.256,0.364,-0.413,0.045,0.392,0.063
-0.014,0.245,0.407,0.44,0.381,0.045
0.308,-0.129,0.09,-0.291,-0.102,0.068
-0.453,-0.101,0.092,-0.408,0.356,0.043
-0.115,0.008,-0.17,-0.215,-0.419,0.012
0.375,-0.378,-0.149,-0.006,0.147,0.009
0.418,-0.378,0.261,0.101,0.24,0.013
-0.472,0.443,0.217,-0.02,-0.499,-0.012
-0.444,-0.435,-0.307,-0.158,-0.238,-0.04
-0.139,0.225,-0.291,-0.01,0.315,0.037
-0.246,-0.451,0.389,-0.078,0.365,-0.026
0.19,0.403,-0.237,0.043,-0.144,0.061
-0.308,-0.364,-0.395,-0.256,0.317,-0.04
0.311,0.449,0.051,0.394,0.3,0.072
-0.083,0.475,-0.011,-0.451,-0.005,0.031
0.437,-0.103,0.208,0.227,-0.15,0.078
0.477,0.498,0.05,-0.177,0.128,0.054
0.14,0.201,-0.163,0.034,-0.238,0.061
0.046,-0.211,-0.176,-0.375,-0.09,0.002
-0.405,0.296,-0.063,-0.09,0.127,0.037
-0.306,-0.485,0.14,0.025,0.09,-0.034
-0.087,-0.13,-0.138,-0.373,-0.099,0.034
0.356,-0.049,0.103,-0.149,-0.063,0.066
-0.464,0.435,-0.269,-0.275,-0.481,-0.023
-0.13,0.402,-0.469,0.129,-0.331,0.037
-0.142,-0.253,-0.497,0.218,-0.449,-0.061
0.435,0.384,-0.085,-0.485,-0.368,0.052
0.406,0.127,0.242,0.326,-0.245,0.074
-0.036,-0.378,0.178,0.263,0.489,-0.002
-0.362,-0.052,0.24,-0.297,0.371,0.039
-0.298,0.166,0.315,0.119,-0.439,0.029
-0.175,0.036,0.317,-0.065,0.13,0.045
0.015,0.011,0.399,-0.408,0.071,0.041
0.457,-0.258,0.18,-0.076,0.078,0.013
-0.196,-0.453,0.113,0.48,-0.191,-0.026
0.096,-0.065,0.335,0.369,0.296,0.07
-0.079,0.367,0.137,0.418,-0.487,0.0
0.144,0.181,0.463,-0.329,-0.085,0.065
-0.1,-0.162,0.28,0.384,0.041,-0.002
0.34,-0.051,0.204,0.474,-0.49,0.029
-0.32,-0.224,-0.281,0.414,0.148,-0.034
0.447,0.12,0.238,0.029,0.314,0.074
-0.441,0.313,-0.058,-0.007,0.004,0.037
-0.055,-0.281,-0.495,-0.171,-0.199,-0.008
-0.192,0.423,-0.428,0.071,0.032,0.037
-0.482,-0.246,-0.417,0.157,0.144,-0.037
0.01,-0.384,0.395,-0.328,-0.307,-0.005
-0.222,0.28,-0.253,-0.117,-0.321,0.037
0.164,0.463,0.304,0.435,-0.439,0.069
-0.205,0.05,-0.361,0.306,-0.487,-0.015
0.292,0.089,0.061,-0.103,0.104,0.072
0.238,-0.04,0.366,0.102,0.029,0.074
0.448,0.125,-0.402,0.495,0.104,0.063
0.495,0.288,-0.396,-0.143,0.259,0.054
-0.464,0.039,-0.27,-0.322,0.037,0.03
-0.027,0.107,0.411,0.185,-0.47,0.008
-0.303,0.319,0.132,0.327,-0.022,0.044
0.192,-0.408,-0.23,-0.353,0.433,0.01
-0.142,0.48,0.146,0.047,0.309,0.044
0.035,-0.127,0.16,0.022,-0.419,0.041
0.307,0.411,-0.363,-0.193,0.329,0.054
0.426,0.192,-0.419,0.07,0.139,0.063
-0.055,0.3,-0.059,-0.081,-0.061,0.037
0.287,0.497,0.316,-0.497,0.213,0.068
-0.142,0.024,-0.337,0.41,0.381,0.037
0.147,-0.122,-0.45,-0.058,0.067,0.066
0.112,0.131,-0.459,-0.095,-0.299,0.057
-0.318,0.247,0.259,-0.107,0.331,0.045
0.387,-0.191,-0.456,0.079,0.322,0.011
0.459,-0.433,-0.039,0.337,-0.43,0.006
0.185,-0.362,0.162,0.494,0.062,0.013
-0.335,-0.022,-0.456,0.004,0.499,0.037
-0.194,-0.479,-0.021,0.183,-0.325,-0.028
0.381,0.475,0.291,0.419,0.259,0.074
-0.004,-0.443,0.413,-0.395,-0.094,0.0
-0.259,-0.107,0.402,-0.161,0.225,0.043
-0.427,-0.071,0.092,-0.163,-0.454,-0.013
-0.395,0.396,0.39,-0.366,0.036,0.041
-0.325,0.137,-0.312,0.149,0.486,0.037
-0.09,-0.082,0.311,0.002,0.162,0.048
0.153,0.318,0.204,0.486,-0.207,0.072
0.051,-0.199,-0.339,0.285,-0.086,-0.001
-0.208,0.418,0.136,-0.458,-0.31,0.039
-0.296,0.311,-0.215,-0.16,0.457,0.03
-0.295,0.052,-0.283,0.296,0.484,0.037
0.333,-0.468,-0.032,0.139,0.35,0.009
-0.459,0.305,0.442,0.254,-0.449,-0.011
0.123,0.499,-0.051,-0.275,-0.376,0.046
0.141,0.085,-0.124,-0.382,-0.081,0.052
-0.396,0.297,0.081,0.136,0.36,0.044
-0.383,-0.322,-0.498,-0.337,0.321,-0.04
0.4,-0.001,0.466,0.075,0.385,0.074
-0.479,-0.042,-0.159,0.072,-0.3,0.037
0.493,-0.277,0.133,-0.484,-0.354,0.011
0.149,-0.481,0.35,-0.478,-0.274,0.011
0.198,0.472,-0.27,-0.283,0.22,0.052
-0.409,-0.047,0.07,0.443,-0.012,0.044
0.421,-0.223,-0.434,-0.144,-0.192,0.006
-0.245,-0.201,-0.465,0.102,0.45,-0.026
0.181,0.338,-0.164,0.125,-0.113,0.061
0.149,0.406,-0.184,0.476,-0.114,0.061
0.162,-0.424,-0.423,0.128,0.403,0.007
-0.279,0.291,0.174,-0.454,-0.157,0.04
0.218,0.477,0.41,-0.21,-0.121,0.065
0.452,-0.366,0.255,0.035,-0.343,0.011
-0.153,0.282,0.255,-0.39,0.448,0.041
-0.04,-0.014,-0.032,0.222,-0.098,0.037
-0.197,0.378,0.476,0.406,0.18,0.045
0.259,0.378,0.164,0.5,0.383,0.074
-0.238,-0.024,0.02,-0.026,0.219,0.037
-0.184,-0.448,0.233,-0.262,0.048,-0.029
-0.448,0.417,-0.218,0.488,0.278,0.037
-0.338,-0.173,0.449,-0.299,0.278,-0.033
0.034,0.253,-0.031,-0.161,0.026,0.041
0.317,0.216,0.069,-0.144,-0.22,0.066
0.344,-0.493,0.1,-0.019,-0.24,0.012
0.03,0.46,-0.217,-0.387,-0.366,0.04
-0.103,0.249,-0.279,0.155,0.078,0.037
0.062,-0.156,0.19,-0.459,-0.382,0.004
0.405,0.03,-0.461,-0.195,0.492,0.054
0.153,-0.169,0.062,-0.142,-0.486,-0.044
0.162,-0.078,0.232,0.448,0.085,0.078
0.156,0.312,0.208,-0.13,-0.032,0.072
0.426,-0.061,0.232,0.439,0.03,0.074
0.344,-0.396,0.422,-0.435,0.318,0.014
0.096,0.002,-0.422,0.011,-0.145,0.06
0.468,-0.015,0.456,0.486,-0.098,0.074
-0.357,-0.173,-0.186,-0.045,-0.347,-0.034
-0.121,-0.429,0.184,-0.37,-0.007,-0.022
-0.24,0.072,-0.296,-0.461,0.314,0.031
-0.097,0.029,0.257,0.473,0.141,0.045
0.084,-0.266,0.045,-0.499,-0.188,0.008
0.439,0.46,0.465,-0.463,0.399,0.068
-0.303,-0.055,0.124,0.028,-0.314,0.044
0.286,0.03,-0.164,-0.132,-0.33,0.057
0.04,-0.328,-0.46,0.317,-0.37,-0.002
-0.306,-0.21,-0.252,0.028,0.268,-0.034
0.103,-0.496,0.39,0.335,-0.093,0.011
0.309,0.163,0.315,-0.368,-0.003,0.068
0.206,0.154,0.387,0.152,-0.231,0.072
0.432,0.469,-0.344,-0.368,-0.38,0.049
0.356,-0.494,0.127,0.286,0.123,0.012
-0.479,0.354,-0.096,-0.181,0.155,0.03
-0.494,-0.195,0.405,-0.086,0.399,-0.031
-0.437,-0.382,-0.364,0.096,-0.201,-0.037
0.273,0.178,0.016,0.219,0.03,0.063
0.186,0.497,0.284,0.123,-0.129,0.072
0.309,0.013,-0.361,0.421,0.329,0.063
-0.406,-0.116,0.103,0.33,0.103,0.048
0.072,-0.059,0.355,0.343,0.007,0.055
-0.192,0.168,0.432,-0.078,-0.137,0.045
0.081,-0.377,0.19,0.406,0.125,0.01
0.229,-0.458,-0.273,0.393,0.419,0.009
0.441,0.189,0.234,-0.397,-0.405,0.064
0.312,0.251,0.477,0.214,0.25,0.074
0.049,0.261,-0.306,-0.053,0.406,0.047
-0.289,0.416,0.027,0.069,0.03,0.037
-0.428,0.051,-0.0,-0.153,0.114,0.03
0.221,-0.493,0.258,0.136,-0.027,0.013
0.087,-0.426,-0.372,0.114,0.281,0.006
-0.462,-0.07,0.416,-0.084,0.305,0.048
0.272,0.045,-0.433,-0.181,0.458,0.054
-0.365,-0.154,-0.052,0.305,0.03,-0.034
0.225,0.139,-0.253,0.469,0.364,0.063
-0.261,-0.254,-0.091,-0.273,-0.339,-0.032
0.398,-0.352,0.411,-0.317,0.436,0.01
0.128,-0.431,0.001,-0.023,0.11,0.007
-0.147,-0.484,0.365,0.458,-0.187,-0.02
-0.221,0.27,0.118,0.419,0.308,0.044
0.171,0.274,-0.494,0.378,0.472,0.061
-0.256,-0.337,0.235,0.055,-0.413,-0.033
0.133,0.346,-0.336,0.346,0.377,0.061
-0.389,-0.376,0.295,-0.42,-0.335,-0.036
0.198,-0.081,-0.336,-0.448,-0.0,0.057
0.068,-0.425,0.123,-0.126,0.15,0.002
0.328,-0.013,0.169,0.09,-0.205,0.074
0.5,-0.044,0.2,0.11,0.491,0.074
0.099,0.101,0.156,-0.087,-0.149,0.07
-0.495,-0.362,0.273,-0.121,-0.066,-0.034
0.494,0.022,-0.066,-0.454,0.288,0.054
0.26,0.221,0.206,-0.18,0.065,0.068
-0.069,0.26,0.256,-0.384,-0.152,0.041
-0.087,0.29,-0.249,0.099,0.172,0.037
0.403,-0.199,-0.36,0.479,0.017,0.011
0.492,-0.284,0.299,-0.437,0.124,0.014
0.006,0.483,0.353,-0.266,-0.444,0.024
-0.367,0.437,0.352,-0.043,-0.302,0.044
0.39,-0.001,-0.473,0.284,0.18,0.063
0.097,0.463,-0.311,0.267,0.124,0.06
-0.469,0.371,-0.358,0.377,0.406,0.037
0.243,0.489,-0.127,-0.332,-0.287,0.052
-0.32,-0.267,-0.044,-0.36,0.267,-0.039
-0.288,0.294,-0.456,0.443,0.239,0.037
-0.444,-0.117,0.025,0.352,-0.36,0.04
0.256,0.353,-0.307,0.086,-0.081,0.063
-0.16,-0.091,0.438,0.154,-0.393,0.044
0.102,-0.442,0.369,-0.189,0.346,0.008
-0.049,-0.254,-0.197,0.286,0.286,-0.006
-0.156,0.456,0.109,0.424,0.326,0.044
0.359,0.096,-0.29,0.293,0.144,0.063
0.356,0.355,-0.309,0.108,0.255,0.063
-0.432,-0.131,0.484,0.271,0.174,0.048
-0.132,0.233,-0.383,0.342,0.365,0.037
-0.23,0.121,0.0,0.056,0.074,0.037
-0.363,-0.118,0.23,-0.275,0.405,0.042
0.445,-0.279,0.33,0.053,0.31,0.013
0.156,0.166,0.373,-0.383,-0.374,0.062
0.408,0.342,0.093,0.453,-0.135,0.072
0.066,-0.197,-0.105,-0.122,0.237,-0.001
-0.064,-0.346,-0.02,0.351,0.013,-0.005
-0.153,0.011,-0.094,-0.176,-0.002,0.03
0.161,-0.339,0.145,-0.182,-0.433,0.005
0.078,0.493,-0.259,-0.327,-0.077,0.052
-0.124,0.219,0.472,0.197,-0.309,0.044
0.248,0.128,0.036,0.257,-0.19,0.063
-0.318,-0.411,0.1,0.181,-0.009,-0.034
-0.489,-0.054,0.43,0.096,-0.017,0.045
-0.407,-0.254,-0.109,0.213,-0.059,-0.037
0.413,-0.213,-0.349,-0.468,-0.248,0.01
0.275,-0.28,0.085,0.381,-0.399,0.01
0.496,0.125,0.032,-0.375,0.138,0.054
-0.397,0.378,0.036,-0.178,-0.335,0.03
-0.021,0.307,-0.145,0.208,0.289,0.037
-0.442,0.271,0.172,-0.129,-0.35,0.044
-0.055,-0.317,-0.006,-0.289,-0.109,-0.007
0.178,-0.491,0.378,0.327,-0.307,0.011
-0.293,-0.287,0.046,0.144,-0.146,-0.036
-0.475,0.438,-0.262,0.31,0.431,0.037
0.453,0.153,0.471,0.485,0.087,0.074
0.453,-0.214,0.456,0.258,0.164,0.013
0.429,0.137,-0.288,-0.287,0.312,0.054
0.098,0.084,0.444,0.457,-0.414,0.067
-0.151,0.291,0.354,-0.269,-0.249,0.04
-0.121,-0.303,-0.208,0.086,0.251,-0.024
-0.131,0.1,-0.361,-0.426,-0.348,0.031
0.271,0.09,-0.171,0.49,0.006,0.063
-0.169,0.069,-0.474,0.477,0.379,0.037
-0.119,-0.388,0.121,-0.089,0.369,-0.021
-0.239,-0.047,0.052,0.369,-0.015,0.044
-0.495,0.064,0.033,-0.145,0.25,0.03
-0.369,0.25,-0.059,0.392,0.247,0.037
-0.005,-0.423,0.271,0.455,-0.122,-0.002
0.454,-0.471,-0.148,-0.126,-0.361,0.007
-0.236,-0.406,0.168,-0.404,-0.218,-0.028
-0.481,-0.073,-0.055,0.26,0.177,0.041
-0.45,0.377,-0.436,-0.015,-0.462,-0.018
-0.476,0.412,0.284,-0.395,-0.457,-0.014
-0.036,0.034,-0.387,0.316,-0.484,-0.006
-0.065,-0.247,0.297,0.024,0.076,-0.002
-0.47,-0.294,-0.42,0.361,0.355,-0.037
0.08,-0.151,0.405,0.045,-0.274,0.01
-0.225,0.225,-0.122,0.233,-0.049,0.037
-0.295,0.137,-0.283,0.26,0.175,0.037
0.164,-0.248,0.295,0.361,0.413,0.011
0.018,-0.222,0.412,-0.156,-0.418,-0.011
-0.111,-0.126,0.141,-0.099,0.361,0.048
-0.205,0.35,-0.333,0.087,0.209,0.037
0.092,0.369,-0.223,0.34,-0.3,0.057
0.276,0.434,-0.276,0.173,-0.348,0.06
0.211,-0.422,0.075,0.053,-0.296,0.01
-0.045,0.103,0.4,-0.129,0.238,0.045
-0.397,0.453,0.252,-0.378,0.353,0.041
0.042,0.235,-0.393,0.098,0.046,0.047
-0.111,-0.18,-0.128,0.151,0.31,-0.022
0.291,0.269,-0.015,0.226,-0.368,0.06
0.26,0.096,-0.189,-0.41,0.478,0.054
-0.176,-0.234,0.315,-0.295,-0.182,-0.028
-0.316,-0.19,0.396,-0.426,-0.228,-0.033
-0.429,-0.196,0.04,-0.188,0.492,-0.036
0.087,0.364,-0.441,-0.067,0.419,0.06
0.202,0.308,0.494,0.249,0.157,0.072
-0.017,-0.425,-0.075,0.433,0.205,-0.006
-0.165,-0.462,0.115,0.336,0.368,-0.021
-0.038,-0.082,-0.34,-0.379,-0.33,0.033
-0.375,0.041,-0.184,-0.267,0.263,0.03
-0.393,-0.462,0.347,-0.184,0.003,-0.036
0.139,0.015,0.129,-0.163,-0.44,0.06
-0.233,-0.435,-0.399,-0.078,-0.493,-0.076
0.156,-0.325,0.199,-0.447,0.009,0.012
-0.292,-0.268,0.083,0.493,-0.143,-0.034
0.35,-0.274,0.362,0.315,-0.369,0.011
0.112,-0.063,-0.152,0.309,-0.352,0.057
0.027,-0.207,0.222,-0.429,0.472,0.005
-0.252,0.284,-0.292,-0.277,-0.455,-0.019
-0.346,0.291,-0.134,-0.326,-0.267,0.03
0.455,-0.03,0.471,0.201,-0.492,0.029
-0.457,0.215,0.069,0.419,0.218,0.044
0.081,-0.189,-0.302,-0.463,-0.132,0.01
0.497,-0.46,0.042,-0.48,-0.121,0.01
-0.323,0.376,0.251,-0.312,0.465,0.04
0.271,-0.404,-0.323,0.419,-0.136,0.009
0.386,-0.326,-0.301,0.486,-0.351,0.007
0.336,0.069,0.316,-0.176,-0.481,0.033
0.421,0.476,0.473,-0.081,0.295,0.074
0.191,-0.141,0.073,-0.052,-0.066,0.013
-0.433,-0.325,0.016,-0.383,-0.05,-0.039
0.153,-0.001,0.048,0.486,-0.466,0.025
0.058,-0.073,-0.073,-0.13,0.383,0.051
