rtp_fs,ld_ind_fs,spd_rat_adj_fs,ph_fs
0.421,-0.203,-0.42,-0.173
-0.15,0.251,0.298,-0.173
0.35,0.266,-0.211,-0.173
-0.02,0.392,0.391,-0.188
0.177,-0.35,0.021,-0.174
-0.128,-0.459,-0.264,-0.25
0.043,-0.087,0.181,-0.173
0.272,-0.251,-0.226,-0.173
-0.477,0.405,-0.315,-0.177
0.239,0.258,0.178,-0.173
0.03,0.349,0.129,-0.173
-0.426,-0.171,-0.069,-0.177
-0.319,0.495,-0.39,-0.177
-0.272,-0.207,0.489,-0.206
-0.189,-0.492,-0.032,-0.247
-0.334,0.263,0.452,-0.196
-0.249,-0.099,-0.199,-0.177
-0.043,0.081,-0.13,-0.173
0.374,0.021,-0.217,-0.173
0.42,0.337,0.001,-0.173
-0.209,0.339,-0.135,-0.177
0.487,-0.446,-0.237,-0.249
-0.116,-0.38,0.444,-0.195
0.414,-0.08,0.146,-0.173
0.488,-0.234,0.432,-0.191
0.375,-0.225,0.474,-0.206
0.084,-0.3,-0.464,-0.174
0.198,0.481,-0.26,-0.173
0.118,-0.354,-0.128,-0.174
0.031,-0.478,0.172,-0.25
0.048,-0.352,0.208,-0.174
0.266,0.015,0.154,-0.173
-0.28,-0.077,0.44,-0.196
0.423,-0.169,-0.016,-0.173
-0.044,0.106,0.294,-0.173
-0.094,-0.157,-0.091,-0.173
-0.27,0.112,-0.236,-0.177
0.124,0.021,-0.122,-0.173
0.405,-0.347,0.308,-0.175
-0.339,-0.112,0.049,-0.177
0.479,-0.017,-0.073,-0.173
-0.307,-0.222,0.223,-0.177
0.377,0.03,0.071,-0.173
0.066,-0.434,0.353,-0.238
0.012,0.223,-0.112,-0.173
0.248,0.141,0.09,-0.173
-0.021,-0.038,-0.436,-0.173
-0.065,0.006,-0.308,-0.173
-0.06,-0.292,0.498,-0.206
0.318,-0.37,0.386,-0.201
0.075,-0.15,-0.398,-0.173
0.306,0.471,0.485,-0.206
0.054,-0.284,-0.331,-0.174
-0.427,-0.09,-0.236,-0.177
0.396,-0.339,-0.24,-0.174
-0.184,-0.433,-0.063,-0.236
-0.268,-0.002,-0.224,-0.177
-0.394,0.21,-0.219,-0.177
-0.464,-0.159,0.483,-0.206
-0.192,0.235,0.391,-0.188
-0.013,0.233,0.474,-0.206
-0.264,-0.307,-0.224,-0.178
0.355,-0.375,0.09,-0.185
0.337,-0.09,-0.071,-0.173
0.291,0.085,-0.354,-0.173
-0.377,-0.388,-0.286,-0.247
-0.029,0.386,-0.035,-0.173
-0.229,0.271,-0.259,-0.177
0.112,-0.465,-0.318,-0.25
-0.223,0.425,0.413,-0.196
0.201,0.341,-0.324,-0.173
0.356,0.084,0.076,-0.173
0.283,0.022,0.0,-0.173
0.01,0.439,0.496,-0.206
-0.108,-0.485,0.183,-0.25
0.475,0.222,-0.005,-0.173
-0.251,0.355,0.118,-0.177
0.488,0.434,0.466,-0.206
0.498,-0.457,0.443,-0.243
0.038,0.16,0.486,-0.206
-0.1,-0.472,-0.279,-0.25
-0.184,0.173,0.384,-0.188
-0.395,0.043,0.324,-0.178
0.059,0.064,-0.065,-0.173
-0.339,-0.346,0.248,-0.178
0.208,0.287,0.281,-0.174
-0.382,-0.081,0.357,-0.193
-0.374,-0.324,-0.145,-0.178
0.121,0.127,0.044,-0.173
-0.243,-0.447,-0.118,-0.247
-0.399,-0.319,0.101,-0.178
-0.199,0.217,0.398,-0.192
-0.064,-0.452,0.123,-0.249
0.38,0.499,-0.186,-0.173
0.253,0.138,0.068,-0.173
-0.448,0.215,0.279,-0.178
0.367,0.252,0.023,-0.173
-0.276,0.132,0.325,-0.178
0.454,0.01,-0.411,-0.173
-0.278,0.451,-0.238,-0.177
0.315,-0.11,-0.043,-0.173
-0.146,0.495,0.411,-0.191
-0.174,-0.249,-0.423,-0.173
0.158,0.114,-0.068,-0.173
-0.245,0.339,-0.368,-0.177
-0.101,0.143,0.178,-0.173
-0.229,0.179,0.242,-0.177
0.305,-0.309,-0.162,-0.174
-0.459,-0.024,0.052,-0.177
-0.406,0.025,-0.347,-0.177
-0.328,0.381,-0.253,-0.177
-0.492,-0.014,-0.389,-0.177
-0.246,-0.237,-0.257,-0.177
0.371,0.145,0.408,-0.188
-0.028,-0.055,-0.037,-0.173
0.491,0.396,-0.408,-0.173
0.398,0.153,0.145,-0.173
0.167,-0.204,0.273,-0.174
-0.384,0.175,0.402,-0.192
0.32,-0.215,0.059,-0.173
0.487,-0.28,-0.351,-0.174
-0.201,-0.161,0.261,-0.177
-0.444,0.417,0.484,-0.206
0.486,0.176,0.096,-0.173
0.383,-0.219,0.113,-0.173
0.428,0.102,-0.086,-0.173
0.419,0.093,0.026,-0.173
-0.088,0.164,0.388,-0.188
0.055,-0.144,-0.379,-0.173
0.399,0.465,0.012,-0.173
-0.471,0.333,-0.08,-0.177
-0.228,-0.085,-0.47,-0.177
-0.139,0.471,-0.204,-0.173
-0.131,-0.171,0.237,-0.173
0.203,-0.331,-0.446,-0.174
0.384,0.427,-0.359,-0.173
-0.076,0.15,0.439,-0.191
-0.178,-0.371,0.496,-0.215
0.484,-0.272,0.498,-0.206
0.126,0.008,0.093,-0.173
-0.235,0.035,0.094,-0.177
0.066,-0.05,0.198,-0.173
-0.036,0.21,-0.385,-0.173
0.315,0.337,0.118,-0.173
-0.082,0.499,-0.406,-0.173
-0.079,-0.065,0.029,-0.173
0.02,0.403,0.0,-0.173
0.159,0.161,0.432,-0.191
0.082,0.371,-0.353,-0.173
0.416,0.199,0.137,-0.173
-0.023,0.039,0.252,-0.173
-0.116,-0.422,0.243,-0.238
0.16,0.468,-0.263,-0.173
-0.237,-0.154,-0.37,-0.177
0.206,-0.483,-0.145,-0.25
-0.027,0.303,-0.022,-0.173
-0.496,0.437,-0.125,-0.177
-0.216,0.095,-0.074,-0.177
-0.478,-0.471,0.329,-0.249
0.058,0.363,0.205,-0.173
0.384,0.185,0.104,-0.173
-0.041,0.267,0.334,-0.173
-0.055,-0.116,0.034,-0.173
0.188,-0.171,0.38,-0.188
0.064,0.088,0.251,-0.173
-0.384,-0.055,-0.236,-0.177
-0.327,-0.133,-0.044,-0.177
-0.481,0.158,-0.204,-0.177
0.262,0.156,-0.195,-0.173
0.035,0.404,0.216,-0.173
-0.371,0.476,0.338,-0.178
-0.11,0.188,0.306,-0.173
-0.416,-0.327,-0.055,-0.178
-0.415,-0.089,-0.264,-0.177
0.418,-0.108,0.115,-0.173
0.235,-0.204,0.306,-0.174
0.167,0.072,0.368,-0.188
0.298,0.197,0.24,-0.173
-0.337,-0.061,-0.226,-0.177
-0.304,-0.429,-0.234,-0.246
0.475,0.061,-0.191,-0.173
-0.487,0.289,0.267,-0.177
-0.338,-0.03,0.436,-0.196
0.427,-0.018,0.323,-0.174
-0.079,0.09,-0.027,-0.173
-0.474,0.258,-0.028,-0.177
0.037,0.079,0.421,-0.191
-0.065,0.074,-0.376,-0.173
0.486,0.029,-0.47,-0.173
0.375,0.12,-0.175,-0.173
-0.046,-0.344,0.376,-0.188
0.292,-0.073,-0.084,-0.173
0.493,0.43,0.463,-0.191
-0.094,-0.449,-0.429,-0.249
0.188,0.224,-0.069,-0.173
-0.181,0.325,0.08,-0.173
-0.043,-0.29,0.085,-0.174
-0.316,-0.176,-0.491,-0.177
0.369,-0.184,-0.236,-0.173
0.005,0.387,0.099,-0.173
0.18,-0.041,0.478,-0.206
0.051,0.078,0.174,-0.173
-0.036,-0.008,0.122,-0.173
-0.091,0.201,0.319,-0.173
0.34,0.239,0.194,-0.173
-0.302,-0.12,-0.298,-0.177
0.363,-0.474,0.336,-0.25
0.393,-0.071,0.003,-0.173
-0.075,-0.058,-0.401,-0.173
-0.17,0.149,-0.065,-0.173
0.31,0.213,-0.413,-0.173
0.266,0.009,0.255,-0.173
0.384,-0.272,-0.088,-0.174
-0.23,-0.164,0.014,-0.177
0.32,0.079,-0.217,-0.173
0.446,0.315,0.276,-0.174
0.413,-0.173,0.376,-0.188
-0.189,-0.184,0.21,-0.173
-0.193,0.255,-0.161,-0.173
0.14,-0.094,-0.435,-0.173
0.186,0.143,0.083,-0.173
0.115,-0.063,-0.282,-0.173
0.243,-0.21,-0.28,-0.173
0.366,0.384,-0.062,-0.173
-0.394,0.174,-0.467,-0.177
0.351,-0.49,0.096,-0.25
-0.388,0.126,0.144,-0.177
0.364,0.459,-0.495,-0.173
0.118,0.467,0.203,-0.173
0.301,0.113,-0.437,-0.173
-0.335,0.486,0.023,-0.177
-0.461,0.1,-0.317,-0.177
0.191,0.466,-0.422,-0.173
-0.433,-0.0,-0.106,-0.177
-0.043,-0.188,-0.307,-0.173
-0.197,0.029,0.119,-0.177
0.366,0.057,-0.158,-0.173
-0.04,0.434,-0.051,-0.173
0.221,-0.29,-0.092,-0.174
0.113,-0.451,0.26,-0.249
0.13,-0.058,0.449,-0.191
-0.145,-0.291,-0.364,-0.174
-0.055,0.107,-0.394,-0.173
0.143,0.022,-0.16,-0.173
-0.164,-0.009,0.168,-0.173
-0.008,-0.043,0.011,-0.173
0.498,-0.14,0.353,-0.188
0.426,0.094,0.375,-0.188
0.452,-0.387,0.489,-0.233
0.044,0.369,0.075,-0.173
0.387,0.215,0.074,-0.173
-0.31,0.395,-0.061,-0.177
-0.41,-0.369,-0.002,-0.186
-0.004,0.159,-0.33,-0.173
-0.01,-0.124,-0.286,-0.173
0.157,-0.474,0.068,-0.25
-0.015,-0.49,-0.067,-0.25
0.334,-0.105,-0.478,-0.173
0.244,-0.211,-0.376,-0.173
-0.245,0.48,-0.335,-0.177
-0.447,0.304,0.31,-0.178
0.48,-0.244,0.076,-0.173
0.182,0.357,-0.333,-0.173
0.061,0.079,0.372,-0.188
0.238,0.197,-0.365,-0.173
-0.129,0.271,-0.121,-0.173
0.073,-0.151,0.483,-0.206
-0.218,0.086,0.086,-0.177
0.332,-0.242,-0.195,-0.173
-0.093,0.082,-0.275,-0.173
-0.415,-0.186,0.316,-0.178
0.301,-0.159,-0.022,-0.173
-0.232,-0.39,-0.151,-0.237
-0.176,-0.078,0.411,-0.191
-0.459,0.161,0.154,-0.177
-0.004,0.439,-0.103,-0.173
0.223,-0.428,-0.454,-0.238
-0.498,-0.371,0.372,-0.203
-0.275,0.404,-0.135,-0.177
-0.106,-0.071,0.232,-0.173
0.007,-0.238,0.193,-0.173
0.295,0.477,0.393,-0.188
0.338,0.09,-0.471,-0.173
0.078,0.441,-0.171,-0.173
0.141,0.108,0.389,-0.188
-0.153,0.261,-0.318,-0.173
-0.13,0.497,-0.17,-0.173
-0.061,0.479,-0.196,-0.173
0.41,-0.195,0.126,-0.173
-0.252,0.431,0.143,-0.177
-0.163,0.398,-0.344,-0.173
-0.06,-0.109,-0.058,-0.173
0.425,0.273,-0.042,-0.173
0.018,-0.275,0.249,-0.174
0.289,0.277,-0.389,-0.173
-0.41,-0.131,0.394,-0.192
-0.191,-0.387,0.037,-0.237
0.249,0.085,0.021,-0.173
-0.332,0.365,0.078,-0.177
-0.055,0.063,-0.158,-0.173
-0.166,-0.466,-0.296,-0.247
-0.245,-0.254,-0.079,-0.177
0.469,-0.255,-0.185,-0.173
0.408,0.088,0.05,-0.173
0.027,-0.432,-0.306,-0.238
-0.021,0.332,-0.321,-0.173
-0.193,0.412,-0.381,-0.173
-0.261,-0.482,0.051,-0.249
0.425,0.253,0.122,-0.173
0.115,0.18,-0.274,-0.173
-0.211,-0.36,-0.065,-0.186
-0.333,-0.428,0.097,-0.246
-0.152,0.049,-0.176,-0.173
-0.057,-0.37,0.368,-0.202
-0.068,-0.143,0.382,-0.188
-0.375,0.094,0.445,-0.196
-0.315,-0.387,0.241,-0.247
0.124,-0.29,0.325,-0.175
0.114,0.169,-0.384,-0.173
-0.165,0.114,0.476,-0.206
-0.35,-0.429,-0.374,-0.246
0.202,-0.384,0.102,-0.185
-0.018,-0.059,0.0,-0.173
0.263,-0.346,0.416,-0.188
0.362,-0.359,-0.311,-0.185
-0.134,0.136,-0.348,-0.173
-0.31,-0.278,-0.497,-0.178
0.041,-0.221,0.134,-0.173
-0.263,-0.178,-0.401,-0.177
0.478,-0.069,0.07,-0.173
-0.388,-0.083,-0.33,-0.177
0.111,0.358,0.472,-0.206
-0.256,-0.412,-0.474,-0.247
-0.174,-0.349,0.463,-0.188
0.203,0.269,-0.152,-0.173
-0.016,0.025,-0.196,-0.173
-0.17,0.494,-0.025,-0.173
0.032,-0.465,-0.311,-0.25
0.155,0.336,-0.185,-0.173
-0.116,0.259,-0.48,-0.173
-0.093,0.063,-0.249,-0.173
0.305,-0.196,0.487,-0.206
0.494,0.25,-0.1,-0.173
0.086,-0.421,0.22,-0.238
-0.019,-0.306,-0.436,-0.174
-0.237,-0.216,0.201,-0.177
-0.331,0.261,0.358,-0.193
-0.333,0.232,0.117,-0.177
-0.311,-0.21,0.459,-0.196
0.186,0.447,-0.039,-0.173
0.243,-0.447,-0.167,-0.249
0.461,-0.202,-0.186,-0.173
-0.185,0.314,0.055,-0.173
-0.071,0.3,-0.22,-0.173
0.437,0.031,-0.288,-0.173
-0.042,0.046,0.156,-0.173
-0.325,-0.329,-0.377,-0.178
0.182,-0.332,-0.462,-0.174
0.314,0.485,-0.282,-0.173
-0.148,-0.402,0.112,-0.237
-0.306,-0.268,-0.383,-0.178
0.334,0.141,0.016,-0.173
-0.27,-0.311,-0.172,-0.178
0.454,-0.44,0.273,-0.238
-0.358,0.189,-0.366,-0.177
0.449,-0.003,0.293,-0.174
0.142,0.248,0.478,-0.206
-0.334,0.227,0.012,-0.177
0.466,0.354,0.217,-0.173
-0.103,0.38,-0.414,-0.173
-0.102,-0.168,0.372,-0.188
-0.239,0.17,-0.361,-0.177
-0.429,0.026,0.309,-0.178
-0.268,-0.177,0.038,-0.177
0.07,-0.098,0.038,-0.173
0.295,-0.149,0.427,-0.191
-0.165,0.126,0.246,-0.173
-0.269,0.116,0.128,-0.177
-0.09,-0.083,0.476,-0.206
0.483,0.408,0.499,-0.206
0.212,-0.357,0.226,-0.174
-0.192,0.026,-0.401,-0.173
-0.23,-0.374,-0.39,-0.186
-0.46,0.236,0.27,-0.178
-0.205,0.044,-0.326,-0.177
0.035,-0.145,0.017,-0.173
0.324,0.134,-0.236,-0.173
-0.437,-0.307,-0.249,-0.178
0.162,-0.145,-0.481,-0.173
-0.35,0.483,0.45,-0.196
-0.082,0.038,0.091,-0.173
0.1,-0.237,-0.126,-0.173
0.104,-0.489,0.098,-0.25
-0.005,-0.269,-0.27,-0.174
-0.125,-0.324,-0.27,-0.174
-0.283,0.14,-0.272,-0.177
-0.382,-0.267,0.051,-0.178
0.33,0.053,0.446,-0.191
0.126,-0.426,-0.449,-0.238
-0.476,0.258,-0.129,-0.177
-0.319,-0.026,0.336,-0.178
0.305,0.294,0.184,-0.173
0.22,0.067,-0.014,-0.173
0.197,-0.383,-0.041,-0.185
0.458,0.092,-0.323,-0.173
0.414,-0.118,0.372,-0.188
0.186,-0.429,0.197,-0.238
-0.435,-0.094,-0.377,-0.177
-0.468,-0.092,-0.365,-0.177
-0.322,-0.371,0.13,-0.186
0.291,-0.206,0.317,-0.174
-0.072,0.195,0.046,-0.173
-0.285,-0.373,0.131,-0.186
-0.369,-0.458,0.415,-0.247
-0.344,-0.407,0.277,-0.247
-0.32,-0.343,0.076,-0.178
0.084,-0.339,-0.316,-0.174
0.033,0.353,-0.133,-0.173
0.403,-0.232,-0.171,-0.173
0.311,-0.326,0.47,-0.206
0.486,0.487,-0.136,-0.173
0.485,0.45,0.346,-0.188
-0.206,-0.312,-0.309,-0.178
0.215,-0.357,0.219,-0.174
-0.029,-0.013,-0.259,-0.173
-0.045,0.494,-0.412,-0.173
0.217,-0.388,0.259,-0.239
0.496,0.178,-0.296,-0.173
0.003,-0.177,0.216,-0.173
0.311,0.493,-0.346,-0.173
0.297,0.178,-0.038,-0.173
0.18,0.087,0.089,-0.173
0.208,0.266,-0.189,-0.173
-0.43,0.154,0.315,-0.178
0.395,-0.086,-0.185,-0.173
0.424,-0.471,0.21,-0.25
-0.047,0.283,0.313,-0.173
-0.485,0.483,0.053,-0.177
-0.287,-0.04,0.158,-0.177
-0.417,0.279,-0.316,-0.177
-0.03,0.158,-0.297,-0.173
-0.077,0.438,0.329,-0.173
0.473,0.005,0.228,-0.173
-0.057,-0.443,0.11,-0.249
0.45,0.21,0.069,-0.173
-0.294,0.06,0.1,-0.177
0.277,0.233,-0.165,-0.173
-0.306,0.164,-0.499,-0.177
-0.003,-0.199,0.41,-0.188
0.015,-0.099,0.021,-0.173
-0.27,0.16,0.146,-0.177
0.322,0.047,-0.326,-0.173
-0.424,0.246,-0.013,-0.177
-0.125,-0.212,-0.492,-0.173
-0.433,0.422,0.2,-0.177
-0.075,-0.12,-0.169,-0.173
-0.055,-0.221,0.361,-0.188
0.454,0.228,-0.044,-0.173
-0.438,-0.349,-0.323,-0.178
-0.435,0.142,0.359,-0.193
-0.05,-0.215,0.424,-0.191
-0.008,-0.085,-0.377,-0.173
-0.363,0.458,0.499,-0.206
0.146,-0.09,0.37,-0.188
0.101,-0.42,0.129,-0.238
-0.148,0.459,0.202,-0.173
0.44,-0.424,0.194,-0.238
0.436,0.235,-0.121,-0.173
0.392,-0.304,-0.396,-0.174
0.244,-0.178,0.037,-0.173
0.269,-0.146,-0.427,-0.173
-0.018,0.333,0.179,-0.173
-0.395,-0.151,-0.137,-0.177
-0.319,-0.418,0.023,-0.247
-0.099,0.068,0.347,-0.188
-0.446,-0.451,-0.482,-0.247
-0.088,-0.147,-0.092,-0.173
0.274,-0.231,0.076,-0.173
-0.073,0.029,-0.209,-0.173
0.192,-0.112,0.435,-0.191
-0.008,-0.213,-0.192,-0.173
-0.195,-0.244,0.035,-0.177
0.182,0.005,-0.032,-0.173
-0.123,-0.256,0.062,-0.173
-0.47,-0.306,0.147,-0.178
-0.254,0.449,-0.043,-0.177
0.406,-0.021,-0.494,-0.173
0.058,0.381,-0.016,-0.173
0.452,-0.191,-0.487,-0.173
-0.156,-0.249,-0.025,-0.173
0.059,0.047,-0.347,-0.173
0.256,-0.448,0.067,-0.249
0.103,0.207,-0.234,-0.173
0.294,-0.34,0.329,-0.175
-0.197,-0.235,-0.196,-0.177
-0.305,0.373,-0.392,-0.177
-0.25,0.024,-0.326,-0.177
0.468,-0.346,0.077,-0.174
0.181,0.152,-0.416,-0.173
0.394,0.327,0.167,-0.173
-0.099,0.098,-0.243,-0.173
-0.08,0.486,-0.191,-0.173
-0.344,0.066,0.395,-0.192
-0.436,0.091,0.368,-0.193
-0.408,-0.377,0.022,-0.186
-0.135,0.21,0.378,-0.188
0.036,0.078,-0.102,-0.173
-0.184,0.427,0.265,-0.173
0.06,-0.258,0.16,-0.173
0.16,-0.177,-0.488,-0.173
0.156,-0.129,-0.239,-0.173
0.206,0.222,-0.159,-0.173
0.462,0.278,-0.212,-0.173
-0.453,0.172,-0.097,-0.177
-0.193,0.461,-0.38,-0.173
0.426,-0.166,0.4,-0.188
0.259,-0.323,0.057,-0.174
-0.468,0.499,-0.179,-0.177
-0.001,0.124,0.078,-0.173
0.162,0.214,-0.225,-0.173
0.021,0.384,-0.32,-0.173
-0.427,0.382,0.434,-0.196
-0.179,-0.111,-0.467,-0.173
0.106,-0.189,0.407,-0.188
0.299,-0.224,0.079,-0.173
-0.287,0.356,0.048,-0.177
-0.332,-0.33,0.456,-0.196
-0.069,0.418,0.438,-0.191
0.271,-0.029,-0.109,-0.173
-0.271,0.225,0.069,-0.177
-0.108,0.239,-0.05,-0.173
0.223,-0.354,-0.48,-0.174
0.37,0.118,-0.125,-0.173
-0.255,-0.082,0.318,-0.178
0.052,-0.359,0.316,-0.186
0.191,-0.325,0.07,-0.174
-0.029,-0.036,0.162,-0.173
-0.092,0.075,0.079,-0.173
-0.321,-0.486,0.352,-0.249
-0.388,-0.363,0.005,-0.186
0.188,0.0,-0.09,-0.173
-0.059,-0.245,-0.178,-0.173
-0.167,-0.46,0.007,-0.247
0.133,-0.021,0.231,-0.173
0.207,0.281,0.295,-0.174
-0.203,0.259,-0.193,-0.177
-0.051,-0.136,-0.067,-0.173
-0.213,-0.16,0.479,-0.206
0.077,0.208,0.005,-0.173
-0.125,-0.489,0.052,-0.25
-0.329,0.159,-0.415,-0.177
-0.34,-0.477,-0.25,-0.249
0.278,-0.14,-0.263,-0.173
-0.305,-0.179,-0.427,-0.177
0.074,-0.011,0.418,-0.191
-0.198,0.222,0.367,-0.193
0.067,0.405,-0.106,-0.173
-0.204,0.315,0.263,-0.177
-0.153,-0.115,-0.055,-0.173
-0.386,0.435,-0.446,-0.177
0.435,0.056,-0.197,-0.173
0.326,0.182,-0.145,-0.173
-0.015,0.21,-0.296,-0.173
0.461,-0.478,-0.372,-0.25
0.14,0.426,0.078,-0.173
0.238,-0.407,-0.316,-0.239
0.475,-0.446,-0.499,-0.249
0.28,-0.079,-0.398,-0.173
0.281,-0.405,-0.315,-0.239
-0.337,-0.405,0.193,-0.247
-0.129,-0.141,-0.397,-0.173
0.125,-0.196,-0.181,-0.173
-0.139,-0.002,0.007,-0.173
-0.301,-0.02,-0.36,-0.177
0.155,0.023,-0.32,-0.173
0.138,-0.248,0.244,-0.173
0.169,0.062,-0.049,-0.173
-0.275,0.295,-0.106,-0.177
-0.064,-0.248,0.071,-0.173
0.47,-0.455,0.398,-0.249
0.123,-0.281,-0.059,-0.174
0.234,-0.347,0.005,-0.174
0.41,-0.484,-0.448,-0.25
0.003,-0.008,0.026,-0.173
-0.196,0.49,0.458,-0.196
0.411,-0.157,-0.394,-0.173
-0.285,0.207,-0.373,-0.177
0.368,0.116,-0.023,-0.173
0.247,0.452,0.334,-0.174
-0.389,0.061,0.211,-0.177
-0.262,-0.485,-0.247,-0.249
0.373,0.226,-0.424,-0.173
-0.02,0.274,0.425,-0.191
-0.023,0.248,-0.061,-0.173
-0.448,-0.076,-0.177,-0.177
-0.278,0.379,-0.224,-0.177
-0.17,0.287,0.231,-0.173
0.016,-0.284,-0.114,-0.174
-0.119,-0.207,-0.122,-0.173
0.074,0.339,-0.029,-0.173
-0.373,-0.333,0.31,-0.179
0.273,0.182,0.341,-0.188
-0.381,0.396,0.206,-0.177
-0.449,-0.48,-0.052,-0.249
0.324,-0.007,-0.063,-0.173
0.062,0.086,-0.32,-0.173
-0.364,-0.32,-0.421,-0.178
0.387,-0.047,-0.038,-0.173
-0.344,-0.216,0.049,-0.177
-0.361,-0.295,0.01,-0.178
0.301,-0.08,0.222,-0.173
-0.343,-0.192,-0.272,-0.177
0.273,-0.458,-0.278,-0.249
-0.333,0.488,-0.322,-0.177
-0.106,0.199,0.424,-0.191
-0.415,-0.124,-0.459,-0.177
-0.236,0.172,-0.18,-0.177
-0.199,0.081,0.249,-0.177
-0.01,-0.242,-0.006,-0.173
0.189,-0.461,-0.097,-0.25
0.308,0.354,-0.332,-0.173
-0.365,0.239,0.167,-0.177
-0.345,-0.214,-0.206,-0.177
-0.279,0.088,-0.098,-0.177
0.327,-0.41,0.268,-0.239
0.351,0.273,-0.187,-0.173
0.459,0.197,0.34,-0.188
0.43,-0.002,0.109,-0.173
0.408,-0.208,-0.472,-0.173
0.22,-0.21,0.168,-0.173
-0.345,-0.423,0.3,-0.246
0.242,-0.022,0.044,-0.173
0.419,0.481,-0.489,-0.173
0.128,-0.037,-0.243,-0.173
-0.357,0.167,-0.493,-0.177
-0.203,0.127,0.129,-0.177
0.293,0.198,-0.383,-0.173
-0.368,-0.339,-0.198,-0.178
0.235,0.185,-0.221,-0.173
-0.399,0.103,0.017,-0.177
-0.301,0.042,-0.182,-0.177
-0.02,0.492,-0.188,-0.173
-0.053,-0.021,0.447,-0.191
-0.308,0.355,0.152,-0.177
0.13,-0.476,0.09,-0.25
0.152,0.148,0.376,-0.188
0.037,-0.029,-0.012,-0.173
0.071,0.087,-0.181,-0.173
0.214,-0.395,-0.348,-0.239
-0.129,-0.201,-0.408,-0.173
0.359,-0.476,-0.161,-0.25
-0.314,-0.25,-0.387,-0.177
0.222,0.231,0.314,-0.174
-0.488,0.009,-0.477,-0.177
0.154,0.087,0.11,-0.173
-0.166,-0.065,0.307,-0.173
-0.496,0.053,0.085,-0.177
0.14,0.41,0.489,-0.206
0.184,-0.102,0.17,-0.173
-0.333,0.139,0.164,-0.177
0.208,0.444,-0.221,-0.173
-0.179,-0.168,0.456,-0.191
-0.481,-0.087,0.11,-0.177
0.291,0.36,-0.084,-0.173
0.336,0.362,0.078,-0.173
0.093,0.082,-0.431,-0.173
0.411,-0.349,-0.133,-0.174
0.24,-0.389,-0.301,-0.239
0.349,0.079,0.172,-0.173
-0.059,0.1,-0.373,-0.173
-0.288,0.188,-0.256,-0.177
0.247,-0.388,0.379,-0.239
0.451,0.024,-0.242,-0.173
0.192,-0.478,-0.313,-0.25
0.281,-0.229,-0.027,-0.173
-0.222,-0.096,0.273,-0.178
0.249,0.297,0.145,-0.173
0.227,0.343,0.411,-0.191
-0.089,-0.044,0.42,-0.191
0.111,-0.244,0.324,-0.174
0.498,-0.4,0.494,-0.233
0.429,0.234,0.357,-0.188
-0.233,0.123,0.284,-0.178
0.173,-0.019,-0.016,-0.173
0.283,0.472,0.279,-0.174
0.138,-0.269,0.146,-0.174
0.471,-0.344,-0.248,-0.174
-0.035,0.197,0.108,-0.173
0.324,0.452,-0.316,-0.173
-0.277,0.226,-0.25,-0.177
-0.489,0.005,0.371,-0.193
0.397,-0.46,-0.484,-0.25
0.482,0.402,-0.254,-0.173
0.397,-0.468,-0.06,-0.25
-0.482,-0.157,-0.182,-0.177
0.03,-0.286,0.155,-0.174
0.465,0.264,0.279,-0.174
0.284,-0.003,0.412,-0.191
-0.497,0.179,0.315,-0.178
0.008,-0.456,0.041,-0.249
0.22,-0.255,0.43,-0.191
0.176,0.295,0.126,-0.173
0.471,-0.365,-0.064,-0.185
-0.466,0.16,0.158,-0.177
0.1,0.368,0.34,-0.188
-0.053,0.092,-0.266,-0.173
0.25,0.495,0.043,-0.173
-0.168,0.047,-0.127,-0.173
-0.275,0.356,0.25,-0.177
-0.095,0.288,-0.146,-0.173
0.287,-0.176,-0.022,-0.173
-0.352,-0.474,0.494,-0.257
0.042,-0.464,0.256,-0.25
0.241,0.362,0.267,-0.173
0.213,0.31,0.477,-0.206
-0.349,-0.21,0.217,-0.177
-0.166,-0.203,0.188,-0.173
0.027,-0.284,0.043,-0.174
0.062,-0.22,-0.107,-0.173
-0.175,0.264,-0.076,-0.173
0.169,-0.004,0.09,-0.173
-0.335,-0.164,-0.113,-0.177
0.462,-0.334,-0.332,-0.174
0.354,-0.345,0.446,-0.188
-0.002,0.372,-0.208,-0.173
-0.283,-0.072,0.124,-0.177
0.263,-0.185,-0.369,-0.173
0.142,0.013,0.39,-0.188
0.444,0.336,0.371,-0.188
0.453,0.091,-0.248,-0.173
-0.01,0.005,-0.025,-0.173
-0.317,-0.233,-0.374,-0.177
0.434,-0.146,0.466,-0.206
0.089,-0.351,0.388,-0.188
0.251,0.297,0.286,-0.174
0.294,0.436,0.36,-0.188
0.097,-0.41,0.45,-0.232
-0.271,0.33,0.108,-0.177
-0.443,-0.399,-0.203,-0.247
0.234,-0.381,-0.283,-0.185
-0.394,0.221,0.201,-0.177
-0.393,0.309,0.258,-0.177
-0.247,0.106,0.335,-0.178
0.152,-0.018,0.494,-0.206
-0.437,0.051,-0.02,-0.177
-0.493,0.297,0.184,-0.177
-0.082,0.1,-0.231,-0.173
-0.297,-0.414,-0.285,-0.247
0.345,0.017,-0.202,-0.173
-0.299,-0.065,0.492,-0.206
-0.099,0.01,-0.094,-0.173
0.191,0.274,0.362,-0.188
-0.392,-0.205,0.297,-0.178
0.303,0.118,-0.326,-0.173
-0.066,-0.475,-0.164,-0.25
